,visit_id,completed_process,group
278,108225602_70332431123_422605,1,Test
279,108290112_7588267913_738033,0,Test
280,108322435_21452053415_198387,1,Test
281,108379096_9586169228_197577,0,Test
282,108412521_60149060503_304593,1,Test
283,108464187_20560614557_778601,0,Test
284,108512480_46946897712_664594,0,Test
285,108522111_2010274173_543895,0,Test
286,108559394_74645813196_135071,1,Test
287,108562121_78928143061_303649,0,Test
288,108600939_51090488386_203369,1,Test
289,108622316_94547093641_110646,1,Test
290,108665944_16860908550_234753,0,Test
291,108733913_69527591003_427656,0,Test
292,108758601_86992697619_659748,0,Test
293,108785195_36605645729_936668,0,Test
294,10881982_2291331778_727577,1,Test
295,108838828_80323001018_403472,1,Test
296,108841867_14231764245_756209,1,Test
297,10891635_81043982891_216011,0,Test
298,108945577_3113163814_542520,1,Test
299,108979939_59698627739_569564,0,Test
300,108987942_49132825395_995738,0,Test
301,108988801_56065391636_731045,1,Test
302,10899307_53651903569_153334,0,Test
303,108996855_38859030787_343545,1,Test
304,109045507_22208190684_100320,1,Test
305,109075168_66140706174_6448,1,Test
306,10913114_89829887986_987719,0,Test
307,10914551_670293919_401186,0,Test
308,109147108_57675030865_731855,1,Test
309,109149267_97304861191_846073,1,Test
310,109161967_92334343334_989295,0,Test
311,109176308_53939750066_966814,0,Test
312,109178287_58305095407_449125,1,Test
313,109182431_41521070099_847786,0,Test
314,109186171_45584680375_932546,1,Test
315,109198982_43752334884_942101,0,Test
316,10926345_74196462385_83740,0,Test
317,109300922_49336450821_608747,1,Test
318,10931038_35247667592_268537,1,Test
319,109404133_85113517339_71852,1,Test
320,109408790_53353856283_307994,0,Test
321,109415641_80486479993_405317,1,Test
322,10947703_78257751291_449167,1,Test
323,109567635_56207438404_461006,0,Test
324,109595278_71747357428_178974,1,Test
325,10964011_55069630910_371359,1,Test
326,10966083_99436866876_908809,1,Test
327,109665755_73120491964_139265,0,Test
328,109734567_71379805027_365364,1,Test
329,109744793_10808628431_611719,1,Test
330,109761942_12933374425_368414,1,Test
331,109799072_82557124764_701631,0,Test
332,109893989_87082173241_73553,0,Test
333,10996344_40677430719_269270,0,Test
334,10998960_55259456402_183498,1,Test
335,110022120_18355031472_18481,0,Test
336,110081652_29232233419_776850,1,Test
337,110085038_47382843469_746761,0,Test
338,110129838_64257908965_483521,0,Test
339,110328340_23474297650_588301,1,Test
340,110339211_4452462121_690293,0,Test
341,110376714_69987037593_737036,0,Test
342,11038168_65125134709_615698,1,Test
343,110415280_47075196194_176215,0,Test
344,110433685_50512830489_541081,0,Test
345,110454357_32145786652_758657,0,Test
346,110501001_1387651944_765425,1,Test
347,110506090_38117495495_681624,1,Test
348,110527808_9998103430_864206,0,Test
349,110553313_87266248862_873082,1,Test
350,110571039_46686284424_8595,0,Test
351,110587451_22786493399_116490,0,Test
352,110587872_41098554542_289145,0,Test
353,110627488_22526312169_56361,0,Test
354,110683017_83237322449_824704,1,Test
355,11069325_63903712713_156734,1,Test
356,110697580_90775348822_953381,0,Test
357,110744639_88438488554_163285,1,Test
358,110757749_6186676709_455663,0,Test
359,110762952_76933669636_385911,1,Test
360,110784034_78365342748_450135,1,Test
361,110792069_77781403064_195117,1,Test
362,110812049_21946570521_410833,1,Test
363,11081880_55901769447_75033,0,Test
364,110833117_58192301558_957264,0,Test
365,110839642_52276648687_947839,0,Test
366,110875030_53466245506_573660,1,Test
367,110904520_49198075199_843315,0,Test
368,110942338_45841834972_508416,1,Test
369,110982041_11873823877_469150,1,Test
370,110985301_7175185421_212909,0,Test
371,111039632_61377100850_188833,1,Test
372,111141001_53434484643_525868,0,Test
373,111147402_19730645292_171969,0,Test
374,111216441_53690446399_80660,1,Test
375,111288517_23205461743_982637,1,Test
376,111288913_58923313719_547176,0,Test
377,11129857_77538547975_689290,0,Test
378,111310856_37391878973_702843,0,Test
379,111318097_85333009454_598282,0,Test
380,111338386_71394541962_288197,0,Test
381,111352922_37954812157_957042,1,Test
382,111436494_65622352289_968722,0,Test
383,111436552_79748621055_817012,0,Test
384,111440006_24400981382_629026,0,Test
385,111477635_92791792895_205812,1,Test
386,111492938_17837631729_148523,0,Test
387,111525909_16355509765_333898,0,Test
388,111582822_66819122788_789217,0,Test
389,111633068_61104516941_342982,1,Test
390,111678586_82929529969_329036,1,Test
391,111745551_76368880521_203689,0,Test
392,111776291_60361017407_144894,1,Test
393,111810301_57480644582_455956,1,Test
394,111810502_99789384545_571230,1,Test
395,111855105_54160277406_606350,0,Test
396,111887570_6981372978_6017,0,Test
397,111892979_52574645025_186706,0,Test
398,11189754_34008195915_254731,0,Test
399,11191708_78095070247_829306,1,Test
400,111948292_26246780563_917603,0,Test
401,111952255_90409886275_465965,0,Test
402,111978853_35740712756_454321,1,Test
403,11202931_51923910212_604043,1,Test
404,112137646_32440716513_612811,0,Test
405,112164188_99837834716_998980,0,Test
406,112166579_93947683854_533221,1,Test
407,112173758_77871395509_679273,0,Test
408,112175296_43869319549_959848,0,Test
409,112197594_96647221978_544502,0,Test
410,112210745_80244646548_252887,1,Test
411,112254779_47535940518_581091,1,Test
412,11227387_89522757568_989740,0,Test
413,112294908_71164891416_517024,1,Test
414,112395014_75714671926_886753,0,Test
415,112395203_99657516791_945786,0,Test
416,112396047_88932938622_886508,1,Test
417,112421849_36991899220_388369,0,Test
418,112447800_38438725500_752937,1,Test
419,112448866_31877751796_716590,1,Test
420,112466229_63741505272_18967,0,Test
421,112519403_29210916867_150112,1,Test
422,112550634_33801147296_757595,0,Test
423,112568155_48851190344_753613,1,Test
424,11259220_47650296318_783832,1,Test
425,112617040_5242742838_506890,1,Test
426,112677117_87126008686_827730,1,Test
427,112689496_86151368896_897785,1,Test
428,112697889_59823474086_738285,1,Test
429,112723101_1666008889_482863,0,Test
430,112778127_31884628680_758975,0,Test
431,112803705_2344689735_270106,0,Test
432,112828951_45749385033_443559,0,Test
433,11285989_43226672600_576309,1,Test
434,112865082_27586132150_146466,1,Test
435,112909057_36665980589_492159,1,Test
436,112961623_85127622343_492707,0,Test
437,113087302_15135091115_44803,0,Test
438,113183460_82314639282_817292,0,Test
439,113195775_19776995451_490567,0,Test
440,113238386_40554380759_875770,0,Test
441,113239510_14923893743_649725,1,Test
442,11330450_28294485189_223,0,Test
443,11342014_6077646031_261253,1,Test
444,11342346_7109304535_708407,1,Test
445,113434955_54111108536_145989,1,Test
446,113468869_76785369008_991826,0,Test
447,11347298_12391823270_985274,1,Test
448,113498581_54817749473_688756,1,Test
449,113547351_38254661846_102985,1,Test
450,113577400_49734776474_328269,0,Test
451,113626696_68405917331_960362,1,Test
452,113668145_12915290501_607725,1,Test
453,11368292_84090611766_119067,0,Test
454,113694849_58210815267_559436,0,Test
455,113700073_95659840168_753389,0,Test
456,113718042_84772717540_617597,0,Test
457,113732974_24909729792_48159,1,Test
458,113764961_43924589814_458641,1,Test
459,113770984_34107565824_613015,1,Test
460,113810232_69386027125_857241,1,Test
461,113841332_42735807071_554117,0,Test
462,113869880_13825461662_809817,0,Test
463,113968173_89108780369_182066,1,Test
464,113978302_31326515540_368666,0,Test
465,114054589_88371105538_636147,0,Test
466,114078635_13211216190_810626,0,Test
467,114095077_59803304582_283761,1,Test
468,114108029_90884488662_445410,1,Test
469,114126728_44424654485_66423,0,Test
470,114129538_42858097327_916206,0,Test
471,114163883_78109640749_742468,1,Test
472,114173525_42433368110_578698,1,Test
473,114322880_37376847706_551859,0,Test
474,114354962_39483053431_722888,1,Test
475,114385861_91316894311_143953,0,Test
476,114440509_46403069141_545479,1,Test
477,114468520_1218828179_763803,0,Test
478,114473126_27278274172_38553,0,Test
479,114475112_40344754245_459121,0,Test
480,114497054_64501924695_570721,0,Test
481,114592859_34544332753_25039,0,Test
482,114594069_2360152521_767650,0,Test
483,114599594_36786694169_310947,1,Test
484,114606196_55859309416_475107,0,Test
485,114618348_16347202417_220543,1,Test
486,114662925_54891160018_858289,0,Test
487,114698844_68041278663_100766,1,Test
488,114701606_67508249321_302911,1,Test
489,11471107_64925721562_817149,0,Test
490,114740134_38035880624_46412,1,Test
491,114762538_16823576275_271716,0,Test
492,114836249_26356826713_210917,1,Test
493,114896713_66472214043_307543,0,Test
494,11491837_45306421069_460970,1,Test
495,114919795_95598510202_404663,1,Test
496,114943491_53656987188_434560,1,Test
497,114956145_67618573470_763788,0,Test
498,11496650_42377467589_685361,1,Test
499,114988868_63238594035_114403,0,Test
500,115023233_41292901264_955835,0,Test
501,115084417_32601363713_972158,1,Test
502,115199439_63118645290_870770,0,Test
503,115205568_12674405577_776253,0,Test
504,115222902_62832100679_634101,1,Test
505,115233276_70818113116_689391,0,Test
506,115238584_85636824053_105034,1,Test
507,115240275_1558559366_27594,1,Test
508,115261507_7658624803_238915,0,Test
509,11527291_22075620217_506074,0,Test
510,115282778_26152405261_233818,1,Test
511,115296208_41654096038_346524,0,Test
512,11531093_23488534619_268393,1,Test
513,115333538_74978757261_408510,1,Test
514,115333741_33251581419_317884,0,Test
515,115335691_90549576563_437912,1,Test
516,115336027_57958055503_544542,0,Test
517,115364207_54143240200_86642,1,Test
518,11538702_37971608653_610679,0,Test
519,115438253_97523055272_599875,0,Test
520,115457525_17504067766_384714,0,Test
521,11548017_18603516191_99280,1,Test
522,115500211_38545945881_899467,1,Test
523,115555598_69607650885_112658,0,Test
524,115578493_19675512157_433312,0,Test
525,115603857_91181643342_25780,0,Test
526,115608336_76684043906_15133,0,Test
527,115612186_15082322938_826114,1,Test
528,115617757_65138251386_961088,1,Test
529,115628832_33478297157_559631,1,Test
530,11564204_2458519118_748645,1,Test
531,115657946_78750396201_885141,0,Test
532,115687916_37276165471_961976,0,Test
533,115703195_63908831021_428434,0,Test
534,115717153_93909832774_943554,0,Test
535,115731171_93736730248_937926,0,Test
536,115741888_88139626369_831719,1,Test
537,11577301_73203607073_365967,0,Test
538,115778658_43211466670_972762,0,Test
539,11578132_11796914207_311717,0,Test
540,115786680_34069126523_162217,0,Test
541,115794750_20930164547_833144,0,Test
542,115813920_38866029165_35791,1,Test
543,115821479_78595063911_348862,1,Test
544,115834409_74672377456_73187,1,Test
545,115843954_71935911792_841140,1,Test
546,115853925_23579436029_849123,1,Test
547,115883025_38996812771_861184,1,Test
548,115917004_27422227620_874687,0,Test
549,115960011_60036078441_800809,0,Test
550,115965689_84646629527_365610,1,Test
551,115966398_20382316790_25034,0,Test
552,115972424_25069129600_145821,1,Test
553,116007249_84934708929_254009,0,Test
554,116026883_90750760144_10335,0,Test
555,116028131_36899172684_244109,0,Test
556,116162950_97493359744_892853,0,Test
557,116189830_44980352537_182608,1,Test
558,116203576_85467719679_960474,0,Test
559,116242149_14113770252_95466,1,Test
560,116247727_94320077063_776011,1,Test
561,116258539_59616380873_83549,0,Test
562,116363538_80009442256_799225,0,Test
563,116372933_83780966369_748990,1,Test
564,116378827_83696647884_433111,0,Test
565,116413626_3384517317_60606,0,Test
566,116423277_1297814767_122459,0,Test
567,116449109_34255445232_287957,0,Test
568,116450242_48923471030_587894,1,Test
569,11645787_39510681586_329742,1,Test
570,116540770_3544500117_245563,0,Test
571,116577976_70406357290_541750,1,Test
572,116622592_61579051172_186506,1,Test
573,116713809_99270314822_463968,0,Test
574,116718272_59916060397_258174,1,Test
575,116759861_26538994517_338467,0,Test
576,116814144_31973691555_222340,0,Test
577,116816295_12495408815_173322,0,Test
578,11681817_50462319957_617431,1,Test
579,116838683_34710518573_126156,0,Test
580,116868203_4398293816_73137,1,Test
581,116883231_87065680867_352378,1,Test
582,11693924_2689562443_529591,0,Test
583,116949926_35486376341_70579,0,Test
584,117006955_72801674602_878267,0,Test
585,117030175_61210804016_874049,0,Test
586,117043584_99766050665_187807,1,Test
587,117145154_88429763251_783797,1,Test
588,117148374_23007934750_723969,1,Test
589,117158764_53771100484_4906,1,Test
590,117228242_98611813448_690041,1,Test
591,117236409_34758518430_756741,1,Test
592,117238166_33557846291_858174,1,Test
593,117343330_19268677971_973846,1,Test
594,117352911_11490780975_93665,0,Test
595,11736830_42099826590_927306,0,Test
596,117394195_67508633483_922967,1,Test
597,117431970_28751077059_192855,1,Test
598,117456432_98552688628_737760,1,Test
599,117466927_1914099883_269356,0,Test
600,117477657_16617960966_154463,1,Test
601,11756705_36831667340_798958,1,Test
602,117598438_18068636363_975581,1,Test
603,117621232_6009555989_108347,0,Test
604,117623083_28983793422_368850,1,Test
605,117690989_61199430087_327796,1,Test
606,117757281_97321986110_233209,0,Test
607,117767691_32338358417_157324,0,Test
608,117770016_4680826099_368060,1,Test
609,117784608_47975131646_667746,1,Test
610,117892477_19333232296_788067,1,Test
611,117957808_9299411519_344313,1,Test
612,117977303_9003773002_263931,1,Test
613,117989667_31741168029_261507,0,Test
614,117998350_83153329615_595372,0,Test
615,118045297_88834399773_321506,0,Test
616,118064594_80937459296_226573,1,Test
617,118087955_12343907731_800442,0,Test
618,118096875_7440565874_729017,1,Test
619,118100284_13081048778_175328,0,Test
620,11811527_82225840598_707828,1,Test
621,118163631_64230723803_402733,0,Test
622,118195068_32843250715_253860,1,Test
623,118212621_92142099139_650675,0,Test
624,118220664_34188220593_302297,0,Test
625,118224128_45408348522_997639,0,Test
626,118248787_1086120757_382709,0,Test
627,11827167_97673637101_671134,0,Test
628,118292684_4493346945_212614,0,Test
629,118310444_9582284224_266664,1,Test
630,118316759_11428152948_635942,1,Test
631,118361130_63376615853_153915,0,Test
632,118412342_32363607922_472721,0,Test
633,118418350_13653334565_930163,0,Test
634,11845584_49427507444_172808,1,Test
635,118491840_92806687610_842595,0,Test
636,118555129_8235350015_493783,1,Test
637,118576044_9570973259_254105,1,Test
638,11864337_64873861422_487537,0,Test
639,118648040_11250668089_501460,1,Test
640,118648406_90778027464_388827,0,Test
641,118738703_86871684235_668003,0,Test
642,118976965_58472516945_891703,0,Test
643,118998513_48742966118_443695,0,Test
644,119008455_97352962560_153746,0,Test
645,119012905_77872588469_247087,1,Test
646,119025259_5849708840_173442,0,Test
647,119029992_70105459510_933326,1,Test
648,119038526_29028100757_21295,0,Test
649,119134264_84193305148_498705,0,Test
650,119224591_55323417027_420436,1,Test
651,119273287_35799925760_120612,1,Test
652,119408551_78913474554_474689,1,Test
653,119411777_21731504158_836967,0,Test
654,119478394_70578221443_568885,1,Test
655,119513599_57482314371_294184,1,Test
656,119614191_36204167095_554134,1,Test
657,119637047_70893370220_840556,0,Test
658,119661625_95871962915_554663,1,Test
659,119699813_20467913560_510695,1,Test
660,119759312_94964414037_211905,1,Test
661,119840548_17244568447_32810,1,Test
662,119877378_4564972312_541413,1,Test
663,119905070_41033228683_598643,1,Test
664,119923303_50559530079_550772,0,Test
665,11994572_42648097111_710100,1,Test
666,119968834_54806947629_114449,0,Test
667,119985162_55877575614_378535,0,Test
668,119991097_18669689168_56147,1,Test
669,120007642_15592253853_566596,1,Test
670,120060606_15631190825_55201,0,Test
671,120073719_83448539991_900386,0,Test
672,120080137_94082427303_317815,1,Test
673,120099049_7886971536_807691,0,Test
674,120203754_47789754505_447801,0,Test
675,1202347_47657163993_235880,1,Test
676,120235421_17487693000_315991,1,Test
677,120263305_59862318614_244256,1,Test
678,120277165_30526790419_10691,1,Test
679,120285281_43514818685_562878,1,Test
680,120289709_74592764707_792647,1,Test
681,120389930_6612073166_265170,1,Test
682,120395776_72996316509_837325,1,Test
683,120418845_64101682816_14173,1,Test
684,12043540_10300629133_340757,1,Test
685,120442603_53827537219_895723,1,Test
686,120497554_69944126085_186163,1,Test
687,120501109_51913495159_686464,0,Test
688,120515409_19453110273_465492,1,Test
689,120519892_87304387844_844872,0,Test
690,120577868_3849977813_901564,1,Test
691,120611127_847504955_860029,1,Test
692,120620210_78953174249_399780,0,Test
693,120654803_62155747072_627406,1,Test
694,120683508_34566386722_510948,0,Test
695,120685326_65175664900_762841,1,Test
696,120742909_78876939660_439746,0,Test
697,120909621_10458420308_335669,0,Test
698,120934351_14778085415_376130,0,Test
699,120935858_51696777789_508866,1,Test
700,120942032_58644978943_551835,1,Test
701,120951590_32425416317_110204,0,Test
702,120954292_13522601786_712703,0,Test
703,120986594_44911961470_827124,1,Test
704,121045920_96406106719_624512,0,Test
705,121049022_55129155397_604157,0,Test
706,121084876_97427297035_666766,1,Test
707,121200103_54316246661_40698,0,Test
708,121203840_52324617557_235563,0,Test
709,121209159_81730010277_582286,0,Test
710,121229198_19676407969_57743,0,Test
711,121251196_15216318915_646108,1,Test
712,121285367_52453713985_273659,1,Test
713,121307417_31128759811_248898,0,Test
714,121326005_58243395302_178533,0,Test
715,121329395_32080557569_464842,1,Test
716,121334625_97666409704_964848,0,Test
717,12138154_45244030799_159929,0,Test
718,12138261_31273219660_267099,0,Test
719,121449727_42669047208_384746,0,Test
720,121468417_14359968390_738232,0,Test
721,121478705_77349376732_704294,1,Test
722,12152986_74637069379_122006,1,Test
723,121539902_39215756141_237356,1,Test
724,121588404_89224295949_9022,1,Test
725,12159726_76839980745_78659,1,Test
726,121599907_81287934509_13733,0,Test
727,121601062_51577256297_726650,0,Test
728,12160466_5585491808_783028,0,Test
729,121623235_23859714042_362559,1,Test
730,121628251_80714628222_597183,1,Test
731,121661143_62722849824_559271,0,Test
732,121661483_45726618571_924587,0,Test
733,121724615_79844457964_102791,1,Test
734,121772198_75922258840_579729,1,Test
