visit_id,client_id,Variation,task_time_seconds,task_time_minutes
104919806_96804405687_501195,7464120,Test,417.0,6.95
104977399_88468958887_125871,5995702,Test,1164.0,19.4
105052451_60790410291_962728,1109486,Test,142.0,2.3666666666666667
105091881_38847710974_589990,466142,Control,235.0,3.9166666666666665
105130144_88070617597_601122,693478,Test,337.0,5.616666666666666
105130588_83395941950_968824,6856615,Control,195.0,3.25
105213573_6959115113_374761,8760347,Test,250.0,4.166666666666667
105231784_73768895001_439276,8056722,Control,199.0,3.316666666666667
10525585_16624908258_755243,9587164,Control,156.0,2.6
105267422_78903782197_367795,9402694,Control,319.0,5.316666666666666
10533296_19342141188_838522,8713813,Test,445.0,7.416666666666667
105356822_18107865160_411243,2471147,Control,365.0,6.083333333333333
105397247_2189954903_518088,3696592,Control,265.0,4.416666666666667
105458872_73633905256_530797,34067,Control,949.0,15.816666666666666
105462273_67494302373_957890,2821646,Test,209.0,3.4833333333333334
105463936_33665073256_202725,4121100,Control,89.0,1.4833333333333334
105528198_88476234988_704586,4077197,Test,2556.0,42.6
10556427_59314261366_450199,2886145,Test,186.0,3.1
105654856_27538576603_148503,1532540,Test,183.0,3.05
105687916_37056975038_128942,5013337,Control,357.0,5.95
105697603_42362617011_929945,4564157,Test,189.0,3.15
105713435_18275303055_967670,1715849,Test,299.0,4.983333333333333
105727237_33299933441_343945,1433050,Control,1182.0,19.7
105733065_54467481472_535394,2194589,Test,826.0,13.766666666666667
105849068_17000709084_830710,6765412,Control,160.0,2.6666666666666665
10584945_46072439356_160342,4270488,Test,144.0,2.4
105877223_61802077621_417951,3171521,Control,165.0,2.75
105884506_98727663787_454237,5711340,Test,722.0,12.033333333333333
1058878_6068392397_212360,5120012,Control,846.0,14.1
105981591_70237515451_29158,6665261,Control,329.0,5.483333333333333
105998803_62630916167_181478,8929415,Control,338.0,5.633333333333334
105999073_77773384891_217157,1062464,Test,279.0,4.65
106001304_58473891975_988259,4238188,Test,186.0,3.1
106006949_19302036601_135335,7266655,Test,123.0,2.05
106020402_81964804358_151571,3009588,Control,844.0,14.066666666666666
106052429_14824196356_905818,4903514,Test,264.0,4.4
106063612_44887943452_881713,5731029,Test,146.0,2.433333333333333
106162458_13073625157_259055,9499259,Control,189.0,3.15
106221391_55485370533_288682,7582539,Control,218.0,3.6333333333333333
106264914_49585476195_879523,1589303,Test,625.0,10.416666666666666
106288735_5496759638_969218,8608653,Control,170.0,2.8333333333333335
106292075_94878957222_708923,1980260,Test,487.0,8.116666666666667
106516319_17231742424_451640,3673896,Control,124.0,2.066666666666667
106530045_50715786080_839962,8029833,Control,828.0,13.8
106539194_44506273146_830318,858693,Test,297.0,4.95
106562908_15410746460_945284,5065123,Test,338.0,5.633333333333334
106588504_5828543624_414168,5524226,Control,140.0,2.3333333333333335
106616352_49336215172_500698,1414990,Test,116.0,1.9333333333333333
10666445_47648151759_429171,8754295,Test,130.0,2.1666666666666665
106679528_83928157480_253697,6316179,Control,224.0,3.7333333333333334
106726400_1469041131_435314,2158797,Test,488.0,8.133333333333333
106728830_24796395479_680506,4766428,Control,156.0,2.6
106742846_97029063001_192846,1821665,Control,225.0,3.75
10676122_67167455707_769155,911666,Test,108.0,1.8
106762185_22787047103_166209,1230381,Control,796.0,13.266666666666667
10676892_62797396948_321032,1206454,Control,238.0,3.966666666666667
106770051_83279918981_813844,5572179,Test,240.0,4.0
106805459_62507842156_488717,1623788,Control,132.0,2.2
106809676_34736821159_772023,9290967,Control,232.0,3.8666666666666667
10691547_6905772212_536480,8522955,Control,477.0,7.95
106973227_30712029071_656405,1997443,Control,806.0,13.433333333333334
106979248_15640946710_142957,3098610,Test,201.0,3.35
106991823_36926773912_894581,6999674,Control,376.0,6.266666666666667
1070340_64433955447_943502,3252191,Control,82.0,1.3666666666666667
107057773_80466562830_732923,5900728,Test,156.0,2.6
107090185_43642799759_974372,823619,Test,566.0,9.433333333333334
107155014_47962012202_430208,4351510,Test,938.0,15.633333333333333
107180563_67256983369_744022,1560366,Test,142.0,2.3666666666666667
10721468_20141279440_61193,7025660,Control,1386.0,23.1
107222483_8242134100_684417,7266624,Control,373.0,6.216666666666667
10723739_49503519120_612119,7571586,Test,366.0,6.1
107248528_50766485563_829656,1629940,Test,76.0,1.2666666666666666
107274022_89936223710_343741,6890085,Test,330.0,5.5
107290136_69024949502_534009,5929749,Test,374.0,6.233333333333333
107291547_22481134147_322645,5563273,Control,356.0,5.933333333333334
10736492_51772568397_109044,9165808,Control,176.0,2.933333333333333
107388830_92934484836_986365,5384175,Test,235.0,3.9166666666666665
107406868_34571948150_269115,7305050,Test,90.0,1.5
107419964_89811129887_112985,7897865,Test,89.0,1.4833333333333334
107444312_10965878893_819438,5473597,Test,1241.0,20.683333333333334
107446590_29397725040_254521,3642371,Test,252.0,4.2
107477768_37839328958_783322,7312748,Test,224.0,3.7333333333333334
10748725_78351965784_819901,4084333,Control,367.0,6.116666666666666
107498847_67594416067_869316,4604290,Control,472.0,7.866666666666666
10750371_16783231389_198484,9907037,Control,502.0,8.366666666666667
107556911_7964194388_96072,4147935,Test,1016.0,16.933333333333334
107570996_6061083640_760687,8225466,Test,127.0,2.1166666666666667
10757566_74040962696_428304,1399753,Test,192.0,3.2
107601062_62932731109_515928,421097,Test,500.0,8.333333333333334
107629066_90159587156_918030,1151298,Test,317.0,5.283333333333333
107641279_72757423441_432705,8208998,Control,316.0,5.266666666666667
107670967_98557689633_256472,2056063,Control,161.0,2.683333333333333
107693237_96368288508_746463,8989552,Control,352.0,5.866666666666666
107698779_43951260673_801523,8990589,Test,1960.0,32.666666666666664
10775349_62698260521_997049,5949693,Test,215.0,3.5833333333333335
107800737_87824524171_447246,2715028,Test,292.0,4.866666666666666
107812476_47194111740_635808,8824053,Control,399.0,6.65
107819680_28577379079_882368,4101933,Test,328.0,5.466666666666667
107879944_62966384337_222412,7867427,Test,308.0,5.133333333333334
107896371_21906879108_880611,1085528,Test,197.0,3.283333333333333
107897910_17884108306_474303,1482734,Test,64.0,1.0666666666666667
107914021_23456028454_698003,8517967,Test,136.0,2.2666666666666666
107945468_79277378565_37459,8244502,Test,616.0,10.266666666666667
107975394_61350699882_375756,7140710,Control,424.0,7.066666666666666
10797640_29557170324_46572,6708593,Test,122.0,2.033333333333333
108004465_24063953746_623468,8732960,Test,607.0,10.116666666666667
108088171_11964436695_942392,6399633,Control,262.0,4.366666666666666
108128640_13820221567_570627,5442451,Control,188.0,3.1333333333333333
108132969_24758442202_975841,3476892,Control,388.0,6.466666666666667
108152866_12655231835_411925,4185812,Control,296.0,4.933333333333334
108160928_74041165668_179601,37064,Control,352.0,5.866666666666666
108185369_27453506388_542429,5873674,Control,2708.0,45.13333333333333
1081884_88414139180_854167,7955667,Control,322.0,5.366666666666666
108207988_38370547354_997031,392273,Control,1182.0,19.7
108225602_70332431123_422605,8060496,Test,194.0,3.2333333333333334
10823683_86056158289_300788,7171907,Control,400.0,6.666666666666667
108322435_21452053415_198387,3089039,Test,83.0,1.3833333333333333
108397960_79834715554_939840,3392317,Control,212.0,3.533333333333333
108412521_60149060503_304593,7257789,Test,132.0,2.2
108554619_78952596421_643514,6480906,Control,1234.0,20.566666666666666
108559394_74645813196_135071,5920986,Test,120.0,2.0
108600939_51090488386_203369,4152139,Test,343.0,5.716666666666667
108622316_94547093641_110646,93915,Test,1920.0,32.0
108631730_52513210497_452167,673678,Control,725.0,12.083333333333334
108632786_58840162832_280089,2177404,Control,534.0,8.9
108686729_34233509984_14487,3560967,Control,854.0,14.233333333333333
108690991_98901585957_570,6932275,Control,240.0,4.0
10871633_1705641651_226934,2522259,Control,209.0,3.4833333333333334
10881982_2291331778_727577,30493,Test,598.0,9.966666666666667
108838828_80323001018_403472,7770587,Test,83.0,1.3833333333333333
108841867_14231764245_756209,5265454,Test,402.0,6.7
108905338_14872524601_905668,6356888,Control,296.0,4.933333333333334
108907799_62013523001_254981,6741529,Control,96.0,1.6
10893632_5786602531_586085,465162,Control,346.0,5.766666666666667
108937428_94918779072_42035,8101,Control,954.0,15.9
108945577_3113163814_542520,8247591,Test,825.0,13.75
108957383_41514350677_193670,4754251,Control,79.0,1.3166666666666667
108988801_56065391636_731045,6849509,Test,953.0,15.883333333333333
108996855_38859030787_343545,5048844,Test,1314.0,21.9
109011250_15395719573_228235,5217337,Control,255.0,4.25
109045507_22208190684_100320,2214904,Test,167.0,2.783333333333333
109075168_66140706174_6448,1992563,Test,307.0,5.116666666666666
109140695_24859270597_694344,2891163,Control,414.0,6.9
109147108_57675030865_731855,4632974,Test,1878.0,31.3
109149267_97304861191_846073,7108590,Test,540.0,9.0
109154154_68812231163_309521,3897933,Control,225.0,3.75
109178287_58305095407_449125,1760804,Test,132.0,2.2
109186171_45584680375_932546,5460321,Test,346.0,5.766666666666667
109254991_66090324429_451565,8148299,Control,770.0,12.833333333333334
109266551_86824413138_988298,7763094,Control,953.0,15.883333333333333
109270825_70428791942_253169,5161688,Control,274.0,4.566666666666666
109300922_49336450821_608747,189572,Test,174.0,2.9
10931038_35247667592_268537,2795565,Test,336.0,5.6
109341543_93834603351_339892,9624621,Control,204.0,3.4
10934213_8358643379_64047,298925,Control,812.0,13.533333333333333
109348025_27992284703_535018,4482137,Control,104.0,1.7333333333333334
109404133_85113517339_71852,5884804,Test,371.0,6.183333333333334
109415641_80486479993_405317,541015,Test,113.0,1.8833333333333333
10947703_78257751291_449167,7181531,Test,420.0,7.0
109478439_46834904677_537548,3617668,Control,314.0,5.233333333333333
109493483_32835460568_770553,3817564,Control,231.0,3.85
109595278_71747357428_178974,4487800,Test,306.0,5.1
10964011_55069630910_371359,7055918,Test,729.0,12.15
10966083_99436866876_908809,1692418,Test,413.0,6.883333333333334
109734567_71379805027_365364,183720,Test,83.0,1.3833333333333333
109744793_10808628431_611719,7093388,Test,1037.0,17.283333333333335
109761942_12933374425_368414,7427840,Test,380.0,6.333333333333333
109853243_54038366030_348387,5436026,Control,156.0,2.6
109985769_23587300049_49862,6372038,Control,109.0,1.8166666666666667
10998960_55259456402_183498,8627363,Test,125.0,2.0833333333333335
110028919_87375981057_54923,4617245,Control,909.0,15.15
110077423_47121627403_507093,6948674,Control,134.0,2.2333333333333334
110081652_29232233419_776850,8140069,Test,186.0,3.1
110282786_63380697757_292711,9881248,Control,173.0,2.8833333333333333
110307202_34636181112_192510,6934507,Control,263.0,4.383333333333334
110328340_23474297650_588301,6331553,Test,112.0,1.8666666666666667
110357480_44657547325_549221,3004695,Control,272.0,4.533333333333333
110370392_24256998198_114037,8147545,Control,742.0,12.366666666666667
11038168_65125134709_615698,8598364,Test,199.0,3.316666666666667
110389785_41987072969_79530,2053795,Control,403.0,6.716666666666667
11039402_67593207357_110439,751629,Control,323.0,5.383333333333334
110396168_29164529346_22732,5933753,Control,329.0,5.483333333333333
11049489_90808735976_373672,9873194,Control,214.0,3.566666666666667
110501001_1387651944_765425,4721645,Test,300.0,5.0
110506090_38117495495_681624,8562324,Test,202.0,3.3666666666666667
110529988_53459954592_574647,2249641,Control,251.0,4.183333333333334
11054834_9291749319_320607,7146571,Control,695.0,11.583333333333334
110553313_87266248862_873082,5701822,Test,216.0,3.6
110602169_70496154144_443274,1591487,Control,341.0,5.683333333333334
110644352_58623709359_189784,8273339,Control,376.0,6.266666666666667
110683017_83237322449_824704,8023726,Test,107.0,1.7833333333333334
11069325_63903712713_156734,1889888,Test,1046.0,17.433333333333334
110720215_97248493330_744168,6059000,Control,112.0,1.8666666666666667
110744639_88438488554_163285,8099672,Test,728.0,12.133333333333333
110762952_76933669636_385911,6975226,Test,166.0,2.7666666666666666
110769229_2731562596_369038,4363631,Control,261.0,4.35
110784034_78365342748_450135,4121606,Test,174.0,2.9
110792069_77781403064_195117,9506863,Test,369.0,6.15
110812049_21946570521_410833,38340,Test,121.0,2.0166666666666666
110875030_53466245506_573660,6609008,Test,621.0,10.35
110899910_14242013946_84357,8562779,Control,93.0,1.55
11090727_95300510488_327761,3465286,Control,158.0,2.6333333333333333
110925583_24930667706_617581,8167124,Control,340.0,5.666666666666667
110927775_62147961797_589694,8549200,Control,211.0,3.5166666666666666
110942338_45841834972_508416,1170899,Test,466.0,7.766666666666667
110979260_6724695508_22050,4363111,Control,165.0,2.75
110982041_11873823877_469150,4525231,Test,298.0,4.966666666666667
111019180_13564920828_813922,6693164,Control,525.0,8.75
11102876_24833879204_800510,6785076,Control,187.0,3.1166666666666667
111039632_61377100850_188833,1935217,Test,412.0,6.866666666666666
111148205_25981715466_468155,9320265,Control,322.0,5.366666666666666
111153239_82474719634_867289,7553011,Control,453.0,7.55
111161234_91702610713_863395,9679406,Control,104.0,1.7333333333333334
111201925_49456733189_59478,5035892,Control,269.0,4.483333333333333
111216441_53690446399_80660,7232812,Test,741.0,12.35
111288517_23205461743_982637,2414662,Test,275.0,4.583333333333333
111326804_83688354720_633705,8457919,Control,741.0,12.35
111328817_79510453331_478752,8935253,Control,756.0,12.6
111352922_37954812157_957042,7779487,Test,116.0,1.9333333333333333
111389398_71419555371_190810,7873434,Control,229.0,3.816666666666667
111428143_11425186552_799716,9641810,Control,889.0,14.816666666666666
111477635_92791792895_205812,4557994,Test,140.0,2.3333333333333335
111633068_61104516941_342982,6882657,Test,425.0,7.083333333333333
111634306_28851946679_245469,6642683,Control,247.0,4.116666666666666
111678586_82929529969_329036,6308576,Test,1038.0,17.3
111776291_60361017407_144894,6232107,Test,230.0,3.8333333333333335
111798310_43645736226_972694,3387907,Control,343.0,5.716666666666667
111810301_57480644582_455956,7882402,Test,207.0,3.45
111810502_99789384545_571230,15050,Test,344.0,5.733333333333333
111821165_327669615_79473,3016443,Control,158.0,2.6333333333333333
111907633_72880763425_867787,358189,Control,272.0,4.533333333333333
11191708_78095070247_829306,5787769,Test,190.0,3.1666666666666665
111942134_40082625582_88003,6754236,Control,269.0,4.483333333333333
111978853_35740712756_454321,5328613,Test,424.0,7.066666666666666
11202931_51923910212_604043,7666677,Test,1036.0,17.266666666666666
112166579_93947683854_533221,6934991,Test,249.0,4.15
112210745_80244646548_252887,359922,Test,215.0,3.5833333333333335
112254779_47535940518_581091,4543944,Test,437.0,7.283333333333333
11226658_85296798861_496994,4942333,Control,179.0,2.9833333333333334
112278123_17520597358_564573,5592504,Control,783.0,13.05
112294908_71164891416_517024,3608902,Test,559.0,9.316666666666666
112303976_61144673077_767002,8117599,Control,186.0,3.1
112352365_62407393457_17520,8366776,Control,234.0,3.9
112396047_88932938622_886508,8631879,Test,169.0,2.816666666666667
112447800_38438725500_752937,5954507,Test,109.0,1.8166666666666667
112448866_31877751796_716590,4835217,Test,89.0,1.4833333333333334
112519403_29210916867_150112,9959659,Test,1027.0,17.116666666666667
112524113_33905665150_198284,1345895,Control,292.0,4.866666666666666
112568155_48851190344_753613,243705,Test,197.0,3.283333333333333
11259220_47650296318_783832,4421346,Test,566.0,9.433333333333334
112617040_5242742838_506890,1133592,Test,385.0,6.416666666666667
112677117_87126008686_827730,829902,Test,128.0,2.1333333333333333
112689496_86151368896_897785,3840361,Test,334.0,5.566666666666666
112697889_59823474086_738285,5858133,Test,284.0,4.733333333333333
11285989_43226672600_576309,5137223,Test,3190.0,53.166666666666664
112865082_27586132150_146466,8452673,Test,754.0,12.566666666666666
112909057_36665980589_492159,1269483,Test,966.0,16.1
112962802_60410211013_678851,5449775,Control,556.0,9.266666666666667
112984359_7632128065_94563,1871798,Control,251.0,4.183333333333334
113119512_8308234673_482793,1901850,Control,354.0,5.9
113210214_41722402972_182737,7125818,Control,703.0,11.716666666666667
113239510_14923893743_649725,9355994,Test,933.0,15.55
113296808_72611048538_244313,6038811,Control,136.0,2.2666666666666666
11342014_6077646031_261253,4382344,Test,348.0,5.8
11342346_7109304535_708407,3076977,Test,464.0,7.733333333333333
113434955_54111108536_145989,8546815,Test,850.0,14.166666666666666
11347298_12391823270_985274,2869034,Test,490.0,8.166666666666666
113498581_54817749473_688756,6365541,Test,724.0,12.066666666666666
113547351_38254661846_102985,1118571,Test,76.0,1.2666666666666666
113562647_25670250959_145815,5012978,Control,1184.0,19.733333333333334
113626696_68405917331_960362,7095531,Test,523.0,8.716666666666667
113668145_12915290501_607725,8127172,Test,811.0,13.516666666666667
113704105_34445302901_315971,8737272,Control,162.0,2.7
113725800_43586656354_807324,4304356,Control,328.0,5.466666666666667
113732974_24909729792_48159,8024933,Test,292.0,4.866666666666666
113764961_43924589814_458641,7319689,Test,298.0,4.966666666666667
113770984_34107565824_613015,3999026,Test,210.0,3.5
113810232_69386027125_857241,883773,Test,156.0,2.6
113831903_66637399804_682438,47571,Control,882.0,14.7
113857132_6367438136_397511,1892008,Control,469.0,7.816666666666666
113968173_89108780369_182066,9336541,Test,682.0,11.366666666666667
113976746_73687034503_659300,8383420,Control,301.0,5.016666666666667
114078072_49942160020_776204,8564174,Control,213.0,3.55
114095077_59803304582_283761,4010229,Test,367.0,6.116666666666666
114105550_13669475196_891078,7850280,Control,391.0,6.516666666666667
114108029_90884488662_445410,9651925,Test,400.0,6.666666666666667
114163883_78109640749_742468,3597878,Test,90.0,1.5
114173525_42433368110_578698,7032545,Test,105.0,1.75
114211436_87782424805_368670,3512962,Control,259.0,4.316666666666666
114224653_92314090324_515997,4709898,Control,216.0,3.6
114245500_11808489882_338180,9290245,Control,405.0,6.75
114354962_39483053431_722888,3383345,Test,126.0,2.1
114413144_11508614397_666820,7286566,Control,871.0,14.516666666666667
114440509_46403069141_545479,5197524,Test,242.0,4.033333333333333
114445814_11524806547_85057,4504903,Control,232.0,3.8666666666666667
114564140_74467176622_552976,2289937,Control,402.0,6.7
114593266_71061634944_216043,1736245,Control,686.0,11.433333333333334
114599594_36786694169_310947,9890350,Test,182.0,3.033333333333333
114608397_81417881599_573409,1095055,Control,457.0,7.616666666666666
114618348_16347202417_220543,7327689,Test,193.0,3.216666666666667
11467683_85912757077_972642,175033,Control,741.0,12.35
114698844_68041278663_100766,8813447,Test,114.0,1.9
114701606_67508249321_302911,7455554,Test,378.0,6.3
114740134_38035880624_46412,9946042,Test,534.0,8.9
114804217_38911961494_779374,8699444,Control,296.0,4.933333333333334
114836249_26356826713_210917,9144131,Test,116.0,1.9333333333333333
11484734_14357678728_466641,6229124,Control,451.0,7.516666666666667
114879877_78279781452_522855,6474741,Control,177.0,2.95
114885457_41447361034_760968,2536110,Control,96.0,1.6
11491837_45306421069_460970,8895060,Test,229.0,3.816666666666667
114919795_95598510202_404663,887319,Test,875.0,14.583333333333334
114943491_53656987188_434560,6623816,Test,73.0,1.2166666666666666
11496650_42377467589_685361,639127,Test,253.0,4.216666666666667
11502091_46137398931_301788,328027,Control,449.0,7.483333333333333
115084417_32601363713_972158,6573809,Test,339.0,5.65
115104247_76393222538_918727,6096252,Control,98.0,1.6333333333333333
115201304_41243373705_102534,2129008,Control,171.0,2.85
115208418_12097011388_819632,9034200,Control,1948.0,32.46666666666667
115222902_62832100679_634101,1879536,Test,77.0,1.2833333333333334
115238584_85636824053_105034,1566378,Test,142.0,2.3666666666666667
115240275_1558559366_27594,4887194,Test,236.0,3.933333333333333
115282778_26152405261_233818,671383,Test,1031.0,17.183333333333334
11531093_23488534619_268393,4203290,Test,1759.0,29.316666666666666
115333538_74978757261_408510,6379561,Test,2014.0,33.56666666666667
115335691_90549576563_437912,2458866,Test,463.0,7.716666666666667
115364207_54143240200_86642,2948165,Test,173.0,2.8833333333333333
11548017_18603516191_99280,7181572,Test,1814.0,30.233333333333334
115500211_38545945881_899467,4458772,Test,449.0,7.483333333333333
115612186_15082322938_826114,6050066,Test,346.0,5.766666666666667
115617757_65138251386_961088,5390617,Test,195.0,3.25
115628832_33478297157_559631,6295495,Test,613.0,10.216666666666667
11564204_2458519118_748645,4540109,Test,158.0,2.6333333333333333
11567009_80440453288_940609,4852454,Control,285.0,4.75
115730812_32311810732_588813,1825680,Control,331.0,5.516666666666667
115741888_88139626369_831719,7961086,Test,770.0,12.833333333333334
115742010_80805076270_430012,3512288,Control,688.0,11.466666666666667
11577681_47915149024_91625,9682711,Control,167.0,2.783333333333333
115783905_26160113680_725969,410527,Control,275.0,4.583333333333333
115813920_38866029165_35791,2396722,Test,423.0,7.05
